rah,decd,mag,jh,zphot,arxiv,author,ra,dec,jname,zspec,field,jmag,hmag,id_zf,mass,sn,s11,muv,zeazy,mu,beta,ezphot,emuv,ebeta,logm,Muv,F150W,F200W,photz_2.5,photz_16,photz_84,photz_97.5,tform_16,tform_50,tform_84,stellar_mass_16,stellar_mass_50,stellar_mass_84,robust,zphot2,mag444,zerr,mptid,zplo,zphi,zserr,zflag,Te,Te_err,logO2pp,logO2pp_err,logO2p,logO2p_err,logOH,logOH_err,zperr,NIRCam_ID,z_Spec_flag,z_PRISM,z_spec_source,jades_id,Muv_err,beta_err,dv,dv_err,z_spec,dchi2,pz,zphot_err,xi_Ha,nircam_id,id,count,F444W
00:13:49.13,-30:19:00.85,,,9.30,2304.14469,Derek McLeod,3.454708,-30.31690,j001349.13m301900.85,,,,,,,,,,,,,,,,,-19.15,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4547083333333338&dec=-30.316902777777777&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLASS-z9-32411,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4547083333333338&dec=-30.316902777777777&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
00:13:54.90,-30:20:43.95,,,9.60,2304.14469,Derek McLeod,3.478750,-30.34554,j001354.90m302043.95,,,,,,,,,,,,,,,,,-19.52,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.47874999999999938&dec=-30.345541666666666&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GLASS-z10-15864,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.47874999999999938&dec=-30.345541666666666&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,26.98,,9.12,2207.09436,Marco Castellano,3.479054,-30.31492,j001354.97m301853.73,,,,,,,,,-19.67,9.901,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4790548&dec=-30.314924&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHZ7,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4790548&dec=-30.314924&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
00:13:57.45,-30:18:00.0,29.7,,8.74,2208.01612,Yuichi Harikane,3.489375,-30.30000,j001357.45m301800.00,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.48937499999999948&dec=-30.3&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GL-z9-13,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.48937499999999948&dec=-30.3&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,28.14,,9.10,2207.09436,Marco Castellano,3.490391,-30.32716,j001357.69m301937.77,,,,,,,,,-18.95,2.75,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4903918&dec=-30.327159&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHZ6,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4903918&dec=-30.327159&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,26.99,,9.20,2207.09436,Marco Castellano,3.494440,-30.30762,j001358.67m301827.44,,,,,,,,,-19.98,9.405,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.494448&dec=-30.307622&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHZ5,1,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.494448&dec=-30.307622&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
0:13:59.76,-30:19:29.1,,,12.40,2207.09434,Rohan Naidu,3.499000,-30.32475,j001359.76m301929.10,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.49899999999999978&dec=-30.324749999999998&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gl-z13,4,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.49899999999999978&dec=-30.324749999999998&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
,,25.88,,12.35,2207.09436,Marco Castellano,3.498985,-30.32477,j001359.76m301929.10,,,,,,,,,-22.3,12.3,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4989858&dec=-30.324767&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHZ2,4,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4989858&dec=-30.324767&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
00:13:59.75,-30:19:29.10,,,12.42,2207.12356,Callum Donnan,3.498958,-30.32475,j001359.76m301929.10,,,,,,,,,,,,,,,,,-20.91,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4989583333333338&dec=-30.324749999999998&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17487,4,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.4989583333333338&dec=-30.324749999999998&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
00:13:59.74,-30:19:29.1,27.2,,12.28,2208.01612,Yuichi Harikane,3.498917,-30.32475,j001359.76m301929.10,,,,,,,,,,,,,,,,,,,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.49891666666666628&dec=-30.324749999999998&filters=f200w-clear&size=1&scl=16&invert=True"" height=100px />",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GL-z12-1,4,"<img src=""http://grizli-cutout.herokuapp.com/thumb?ra=3.49891666666666628&dec=-30.324749999999998&filters=f444w-clear&size=1&scl=24&invert=True"" height=100px />"
